id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
NE;NORDESTE;2013-03-23 00:00:00;9483.61029167
S;SUL;2013-03-23 00:00:00;9417.95870833
SE;SUDESTE;2013-03-23 00:00:00;34788.53679167
N;NORTE;2013-03-24 00:00:00;3980.47
NE;NORDESTE;2013-03-24 00:00:00;8707.28908333
S;SUL;2013-03-24 00:00:00;7808.7055
SE;SUDESTE;2013-03-24 00:00:00;30830.55645833
N;NORTE;2013-03-25 00:00:00;4246.9375
NE;NORDESTE;2013-03-25 00:00:00;9677.536375
S;SUL;2013-03-25 00:00:00;10528.76725
SE;SUDESTE;2013-03-25 00:00:00;36808.368125
N;NORTE;2013-03-26 00:00:00;4330.91333333
NE;NORDESTE;2013-03-26 00:00:00;10037.126125
S;SUL;2013-03-26 00:00:00;10979.647375
SE;SUDESTE;2013-03-26 00:00:00;37422.06770833
N;NORTE;2013-03-27 00:00:00;4326.26375
NE;NORDESTE;2013-03-27 00:00:00;10051.42595833
S;SUL;2013-03-27 00:00:00;10937.99125
SE;SUDESTE;2013-03-27 00:00:00;36891.71158333
N;NORTE;2013-03-28 00:00:00;4273.14375
NE;NORDESTE;2013-03-28 00:00:00;9776.79316667
S;SUL;2013-03-28 00:00:00;10754.5415
SE;SUDESTE;2013-03-28 00:00:00;35822.21170833
N;NORTE;2013-03-29 00:00:00;4000.01375
NE;NORDESTE;2013-03-29 00:00:00;8459.96
S;SUL;2013-03-29 00:00:00;7887.40454167
SE;SUDESTE;2013-03-29 00:00:00;29498.082
N;NORTE;2013-03-30 00:00:00;3977.15583333
NE;NORDESTE;2013-03-30 00:00:00;8694.44745833
S;SUL;2013-03-30 00:00:00;8405.73116667
SE;SUDESTE;2013-03-30 00:00:00;30433.16325
N;NORTE;2013-03-31 00:00:00;3831.8375
NE;NORDESTE;2013-03-31 00:00:00;8376.37529167
S;SUL;2013-03-31 00:00:00;7866.171875
SE;SUDESTE;2013-03-31 00:00:00;28860.35816667
N;NORTE;2013-04-01 00:00:00;4301.85791667
NE;NORDESTE;2013-04-01 00:00:00;9696.673625
S;SUL;2013-04-01 00:00:00;11042.20683333
